戦略,ヒット銘柄数,銘柄一覧
A-1_王道モメンタム,0,
A-2_ブレイクアウト,0,
A-3_MACD_RSIトレンド,0,
A-4_一目均衡表三役好転,9,"FTNT,MU,KLAC,MRNA,CAVA,4063.T,9270.T,8058.T,7716.T"
A-5_相対強度ADX,1,8058.T
B-1_低PBR高ROE,0,
B-2_低PER増益,1,4689.T
B-3_高配当低負債,2,"SAP,INFY"
B-4_低PSR高成長,0,
C-1_過売圏反発,0,
C-2_BB下限ストキャス,0,
C-3_52週安値需給改善,0,
C-4_MACDダイバージェンス,9,"AVGO,FTNT,RBLX,QCOM,PYPL,LULU,INFY,6098.T,2802.T"
D-1_CANSLIM完全版,0,
D-2_CANSLIM簡易版,0,
E-1_自社株買い,4,"PLTR,COIN,4751.T,4689.T"
E-2_業績上方修正,0,
E-3_セクターローテーション,4,"CAVA,4063.T,8058.T,7716.T"
E-4_空売り低下,2,"TSM,WMT"
F-1_高品質コア,2,"AAPL,COST"
F-2_低ボラ安定配当,4,"JNJ,WMT,8058.T,7741.T"
I-1_安定バランス,12,"TSM,ANET,FTNT,ABNB,MU,MRVL,KLAC,LRCX,MPWR,ASML,4385.T,7741.T"
I-2_成長型,6,"TSM,ARM,MU,LRCX,MPWR,4385.T"
I-3_業績修正リバウンド,0,
I-4_イベントドリブン,1,ARM
I-5_安定重視ドローダウン抑制,10,"AAPL,GOOGL,ABNB,REGN,VRTX,COST,JNJ,WMT,4484.T,7741.T"
I-6_高精度多軸,1,4484.T
I-7_完全機関投資家型,0,
I-8_モメンタム特化,3,"4063.T,8058.T,7716.T"
I-9_小型成長株,0,
I-10_ディフェンシブ,4,"COST,JNJ,WMT,7741.T"
